Name,Imdb,Status,Netflix us,Hulu us,Disney plus us,Appletv plus us
Head Over Heels,tt2391009,nominated,false,false,false,
The Longest Daycare,tt2175842,nominated,false,false,false,
Curfew,tt2088735,won,false,false,false,
Asad,tt2136747,nominated,false,false,false,
Buzkashi Boys,tt2133304,nominated,false,false,false,
Death of a Shadow,tt2312702,nominated,false,false,false,
Henry,tt2004244,nominated,false,false,false,
Inocente,tt2123210,won,false,false,false,
Kings Point,tt2109153,nominated,false,false,false,
Mondays at Racine,tt2083264,nominated,false,false,false,
Open Heart,tt2348322,nominated,false,false,false,
Redemption,tt2201886,nominated,false,false,false,
Searching for Sugar Man,tt2125608,won,true,false,false,
Five Broken Cameras,tt2125423,nominated,false,false,false,
How to Survive a Plague,tt2124803,nominated,false,false,false,
The Gatekeepers,tt2309788,nominated,false,false,false,
The Invisible War,tt2120152,nominated,false,false,false,
Amour,tt1602620,won,false,false,false,
A Royal Affair,tt1276419,nominated,false,false,false,
Kon-Tiki,tt1613750,nominated,true,false,false,
No,tt2059255,nominated,false,false,false,
War Witch,tt1820488,nominated,false,false,false,
Brave,tt1217209,won,false,false,true,
Frankenweenie,tt1142977,nominated,false,false,true,
ParaNorman,tt1623288,nominated,false,false,false,
The Pirates! Band of Misfits,tt1430626,nominated,false,true,false,
Wreck-It Ralph,tt1772341,nominated,false,false,true,
The Artist,tt1655442,won,false,false,false,
Extremely Loud & Incredibly Close,tt0477302,nominated,false,false,false,
Moneyball,tt1210166,nominated,false,false,false,
The Help,tt1454029,nominated,false,false,false,
The Tree of Life,tt0478304,nominated,false,false,false,
War Horse,tt1568911,nominated,true,false,false,
Midnight in Paris,tt1605783,won,false,false,false,
Bridesmaids,tt1478338,nominated,false,false,false,
Margin Call,tt1615147,nominated,false,false,false,
The Descendants,tt1033575,won,false,false,false,
The Ides of March,tt1124035,nominated,false,false,false,
Tinker Tailor Soldier Spy,tt1340800,nominated,true,false,false,
Hugo,tt0970179,won,true,false,false,
Harry Potter and the Deathly Hallows: Part 2,tt1201607,nominated,false,false,false,
The Girl with the Dragon Tattoo,tt1568346,won,false,false,false,
Anonymous,tt1521197,nominated,false,false,false,
Jane Eyre,tt1229822,nominated,false,false,false,
W.E.,tt1536048,nominated,true,false,false,
The Muppets,tt1204342,won,false,false,true,
Rio,tt1436562,nominated,false,false,false,
The Adventures of Tintin,tt0983193,nominated,true,false,false,
Transformers: Dark of the Moon,tt1399103,nominated,false,true,false,
Drive,tt0780504,nominated,true,false,false,
Real Steel,tt0433035,nominated,false,false,false,
Rise of the Planet of the Apes,tt1318514,nominated,false,false,false,
The Fantastic Flying Books of Mr. Morris Lessmore,tt1778342,won,false,false,false,
A Morning Stroll,tt1964446,nominated,false,false,false,
La Luna,tt1957945,nominated,false,false,true,
Sunday,tt1895334,nominated,false,false,false,
Wild Life,tt2097943,nominated,false,false,false,
The Shore,tt2201259,won,false,false,false,
Pentecost,tt1866218,nominated,false,false,false,
Raju,tt1819651,nominated,false,false,false,
Time Freak,tt1733689,nominated,false,false,false,
