Name,Imdb,Status,Netflix us,Hulu us,Disney plus us,Appletv plus us
Inside the Human Body,tt1929678,nominated,false,false,false,
Bones,tt0460627,nominated,false,true,false,
Southland,tt1299368,won,false,true,false,
Criminal Minds,tt0452046,nominated,true,false,false,
NCIS: Los Angeles,tt1378167,nominated,false,false,false,
Betty White's 90th Birthday: A Tribute to America's Golden Girl,tt2115291,nominated,false,false,false,
Kathy Griffin: Tired Hooker,tt2150313,nominated,false,false,false,
Mel Brooks and Dick Cavett Together Again,tt2071526,nominated,false,false,false,
Tony Bennett: Duets II,tt2172127,nominated,false,false,false,
Futurama,tt0149460,won,false,true,false,
Desperate Housewives,tt0410975,nominated,false,true,false,
Phineas and Ferb the Movie: Across the 2nd Dimension,tt1825918,nominated,false,false,true,
The Looney Tunes Show,tt1726839,nominated,false,false,false,
Prohibition,tt1950799,won,false,false,false,
Louis C.K.: Live at the Beacon Theater,tt2112999,won,false,false,false,
Mad Men,tt0804503,won,true,false,false,
Survivor,tt0239195,won,false,true,false,
Dexter,tt0773262,won,true,false,false,
Glee,tt1327801,won,true,false,false,
Temple Grandin,tt1278469,won,false,false,false,
Georgia O'Keeffe,tt1320286,nominated,false,false,false,
You Don't Know Jack,tt1132623,won,false,false,false,
The Special Relationship,tt1117646,nominated,false,false,false,
Food Revolution,tt1563697,won,false,false,false,
Dirty Jobs,tt0458259,nominated,false,false,false,
Kathy Griffin: My Life on the D-List,tt0476916,nominated,false,false,false,
Endgame,tt1217616,nominated,false,false,false,
Moonshot,tt1251357,nominated,false,false,false,
The Pacific,tt0374463,won,false,false,false,
The Tonight Show with Conan O'Brien,tt0899126,nominated,false,false,false,
P.O.V.,tt0795174,won,false,false,false,
Brick City,tt1442064,nominated,false,false,false,
Patti Smith: Dream of Life,tt0940620,nominated,false,false,false,
Pressure Cooker,tt1185833,nominated,false,false,false,
Sergio,tt1333656,nominated,true,false,false,
Prep & Landing,tt1474311,won,false,false,false,
Alien Earths,tt1517549,nominated,false,false,false,
The 82nd Annual Academy Awards,tt1541775,won,false,false,false,
Super Bowl XLIV Halftime Show,tt1625336,nominated,false,false,false,
The Tudors,tt0758790,won,true,false,false,
Heroes,tt0813715,nominated,false,false,false,
United States of Tara,tt1001482,nominated,false,true,false,
Big Love,tt0421030,nominated,false,false,false,
Nick News with Linda Ellerbee,tt0266165,won,false,false,false,
When Families Grieve,tt1691346,nominated,false,false,false,
Wizards of Waverly Place: The Movie,tt1369845,won,false,false,true,
Hannah Montana,tt0493093,nominated,false,false,true,
Jonas,tt1044418,nominated,false,false,true,
Life,tt1533395,won,false,false,false,
Man vs. Wild,tt0883772,nominated,false,true,false,
Top Chef Masters,tt1427816,nominated,false,false,false,
Weeds,tt0439100,won,true,false,false,
Gary Unmarried,tt1229401,nominated,false,false,false,
